PY,AU,TI,SO,VL,IS,DI,Z9,citesPerYear
2016,"Bornstein, Marc H.; Putnick, Diane L.; Bradley, Robert H.; Deater-Deckard, Kirby; Lansford, Jennifer E.",I. GENDER IN LOW- AND MIDDLE-INCOME COUNTRIES: INTRODUCTION,MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,81,1,10.1111/mono.12223,8,1.6
2016,"Jorgenson, Andrew K.; Rice, James",Slum Prevalence and Health in Developing Countries: Sustainable Development Challenges in the Urban Context,SUSTAINABLE DEVELOPMENT,24,1,10.1002/sd.1606,8,1.6
2009,"Lin, Shu-Chin; Huang, Ho-Chuan; Kim, Dong-Hyeon; Yeh, Chih-Chuan",Nonlinearity between Inequality and Growth,STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,13,2,NA,19,1.5833333333333333
2009,"Patrakosol, Buraj; Lee, Sang M.","IT capabilities, interfirm performance, and the state of economic development",INDUSTRIAL MANAGEMENT & DATA SYSTEMS,109,44447,10.1108/02635570911002298,19,1.5833333333333333
2014,"Wang, Yuhua",Institutions and Bribery in an Authoritarian State,STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,49,2,10.1007/s12116-013-9138-7,11,1.5714285714285714
2014,"Jobert, Thomas; Karanfil, Fatih; Tykhonenko, Anna",Estimating country-specific environmental Kuznets curves from panel data: a Bayesian shrinkage approach,APPLIED ECONOMICS,46,13,10.1080/00036846.2013.875111,11,1.5714285714285714
2012,"Are, Chandrakanth; Stoddard, Hugh A.; O'Holleran, Brigid; Thompson, Jon S.","A Multinational Perspective on ""Lifestyle"" and Other Perceptions of Contemporary Medical Students About General Surgery",ANNALS OF SURGERY,256,2,10.1097/SLA.0b013e3182602b9b,14,1.5555555555555556
2004,"Kurzman, C; Leahey, E","Intellectuals and democratization, 1905-1912 and 1989-1996",AMERICAN JOURNAL OF SOCIOLOGY,109,4,10.1086/378929,26,1.5294117647058822
2007,"Andersen, Lars P.; Tufte, Birgitte; Rasmussen, Feanette; Chan, Kara",Tweens and new media in Denmark and Hong Kong,JOURNAL OF CONSUMER MARKETING,24,44383,10.1108/07363760710822927,21,1.5
2009,"Docquier, Frederic; Rapoport, Hillel","Documenting the Brain Drain of ""La Creme de la Creme"" Three Case-Studies on International Migration at the Upper Tail of the Education Distribution",JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,229,6,NA,18,1.5
2011,"Diaz-Granados, Natalia; Pitzul, Kristen Blythe; Dorado, Linda M.; Wang, Feng; McDermott, Sarah; Rondon, Marta B.; Posada-Villa, Jose; Saavedra, Javier; Torres, Yolanda; Des Meules, Marie; Stewart, Donna E.",Monitoring Gender Equity in Health Using Gender-Sensitive Indicators: A Cross-National Study,JOURNAL OF WOMENS HEALTH,20,1,10.1089/jwh.2010.2057,15,1.5
2013,"Knight, Kyle W.; Newman, Soren",Organic Agriculture as Environmental Reform: A Cross-National Investigation,SOCIETY & NATURAL RESOURCES,26,4,10.1080/08941920.2012.687070,12,1.5
2013,"Condron, Dennis J.","Affluence, Inequality, and Educational Achievement: A Structural Analysis of 97 Jurisdictions across the Globe",SOCIOLOGICAL SPECTRUM,33,1,10.1080/02732173.2013.732866,12,1.5
2017,"Sahin, Ayfer; Akici, Ahmet; Aydin, Volkan; Melik, Bahar; Aksoy, Mesil; Alkan, Ali",Variation of antibiotic consumption and its correlated factors in Turkey,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,73,7,10.1007/s00228-017-2229-z,6,1.5
2017,"Anyanwu, John C.; Kponnou, Mawuko",Accelerating Agro-Manufacturing to Feed Africa,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,29,NA,10.1111/1467-8268.12264,6,1.5
2017,"Heim, E.; Scholten, S.; Maercker, A.; Xiu, D.; Cai, D.; Gao, Z. H.; Lu, S.; Sang, Z. Q.; Wei, J.; Kochetkov, Y.; Margraf, J.",Students' Value Orientations in Contemporary China: Analysis of Measurement Invariance and Latent Mean Differences in Comparison With Students From Germany and Russia,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,48,4,10.1177/0022022117696800,6,1.5
2017,"Asadullah, M. Niaz",Who Trusts Others? Community and Individual Determinants of Social Capital in a Low-Income Country,CAMBRIDGE JOURNAL OF ECONOMICS,41,2,10.1093/cje/bew027,6,1.5
2017,"Nishi, Makiko; Harding, Mairead; Kelleher, Virginia; Whelton, Helen; Allen, Finbarr",Knowledge of caries risk factors/indicators among Japanese and Irish adult patients with different socio-economic profiles: a cross-sectional study,BMC ORAL HEALTH,17,NA,10.1186/s12903-017-0345-x,6,1.5
2019,"Bailey, Nicholas; Warby, Brian",Explaining the competition for FDI: Evidence from Costa Rica and cross-national industry-level FDI data,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,47,NA,10.1016/j.ribaf.2018.07.002,3,1.5
2019,"Hodler, Roland",The Economic Effects of Genocide: Evidence from Rwanda,JOURNAL OF AFRICAN ECONOMIES,28,1,10.1093/jae/ejy008,3,1.5
1992,"SHUKLA, V; PARIKH, K","THE ENVIRONMENTAL CONSEQUENCES OF URBAN-GROWTH - CROSS-NATIONAL PERSPECTIVES ON ECONOMIC-DEVELOPMENT, AIR-POLLUTION, AND CITY SIZE",URBAN GEOGRAPHY,13,5,10.2747/0272-3638.13.5.422,43,1.4827586206896552
2008,"Longo, Stefano; York, Richard",Agricultural exports and the environment: A cross-national study of fertilizer and pesticide consumption,RURAL SOCIOLOGY,73,1,10.1526/003601108783575853,19,1.4615384615384615
1997,"Rodrik, D",The 'paradoxes' of the successful state,EUROPEAN ECONOMIC REVIEW,41,44319,10.1016/S0014-2921(97)00012-3,35,1.4583333333333333
1988,"CALDWELL, JC; CALDWELL, P",IS THE ASIAN FAMILY-PLANNING PROGRAM MODEL SUITED TO AFRICA,STUDIES IN FAMILY PLANNING,19,1,10.2307/1966736,48,1.4545454545454546
2010,"Bonikowski, Bart",Cross-national interaction and cultural similarity: A relational analysis,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,51,5,10.1177/0020715210376854,16,1.4545454545454546
2010,"Baten, Joerg; Carson, Scott","Latin American anthropometrics, past and present-An overview",ECONOMICS & HUMAN BIOLOGY,8,2,10.1016/j.ehb.2010.05.011,16,1.4545454545454546
2012,"Cuesta, Laura; Meyer, Daniel R.",Child support receipt: Does context matter? A comparative analysis of Colombia and the United States,CHILDREN AND YOUTH SERVICES REVIEW,34,9,10.1016/j.childyouth.2012.05.023,13,1.4444444444444444
2014,"Muller, Tim S.; De Graaf, Nan Dirk; Schmidt, Peter",Which Societies Provide a Strong Religious Socialization Context? Explanations Beyond the Effects of National Religiosity,JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,53,4,10.1111/jssr.12147,10,1.4285714285714286
2014,"Anthony, Robert M.",Bringing up the past: Political experience and the distribution of urban populations,CITIES,37,NA,10.1016/j.cities.2013.11.005,10,1.4285714285714286
2016,"Fox, Sean; Bell, Andrew",Urban geography and protest mobilization in Africa,POLITICAL GEOGRAPHY,53,NA,10.1016/j.polgeo.2016.02.004,7,1.4
2016,"Lagerlof, Nils-Petter","Statehood, democracy and preindustrial development",JOURNAL OF ECONOMIC DYNAMICS & CONTROL,67,NA,10.1016/j.jedc.2016.04.001,7,1.4
1997,"Williamson, JB; Boehmer, U","Female life expectancy, gender stratification, health status, and level of economic development: A cross-national study of less developed countries",SOCIAL SCIENCE & MEDICINE,45,2,10.1016/S0277-9536(96)00346-2,33,1.375
2007,"Erdogan, Nevnihal; Akyol, Ayse; Ataman, Berk; Dokmeci, Vedia","Comparison of urban housing satisfaction in modern and traditional neighborhoods in Edirne, Turkey",SOCIAL INDICATORS RESEARCH,81,1,10.1007/s11205-006-0018-7,19,1.3571428571428572
2009,"Sanchez-Cuenca, Ignacio",Revolutionary Dreams and Terrorist Violence in the Developed World: Explaining Country Variation,JOURNAL OF PEACE RESEARCH,46,5,10.1177/0022343309336707,16,1.3333333333333333
2015,"Mohammadpour, Ebrahim; Shekarchizadeh, Ahmadreza; Kalantarrashidi, Shojae Aldin",Multilevel Modeling of Science Achievement in the TIMSS Participating Countries,JOURNAL OF EDUCATIONAL RESEARCH,108,6,10.1080/00220671.2014.917254,8,1.3333333333333333
2015,"Williams, Colin C.",Explaining the Informal Economy: an Exploratory Evaluation of Competing Perspectives,RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS,70,4,10.7202/1034902ar,8,1.3333333333333333
2015,"Burhan, Nik Ahmad Sufian; Sidek, Abdul Halim; Kurniawan, Yohan; Mohamad, Mohd Rosli",Has globalization triggered collective impact of national intelligence on economic growth?,INTELLIGENCE,48,NA,10.1016/j.intell.2014.11.003,8,1.3333333333333333
2015,"ElBannan, Mona",Do consolidation and foreign ownership affect bank risk taking in an emerging economy? An empirical investigation,MANAGERIAL FINANCE,41,9,10.1108/MF-12-2013-0342,8,1.3333333333333333
2015,"Gugushvili, Alexi",Economic Liberalization and Intergenerational Mobility in Occupational Status,COMPARATIVE SOCIOLOGY,14,6,10.1163/15691330-12341368,8,1.3333333333333333
2018,"Day, Creina",Inverse J Effect of Economic Growth on Fertility: A Model of Gender Wages and Maternal Time Substitution,JOURNAL OF FAMILY AND ECONOMIC ISSUES,39,4,10.1007/s10834-018-9578-3,4,1.3333333333333333
2018,"Cole, Wade M.; Geist, Claudia","Progress without Progressives? The Effects of Development on Women's Educational and Political Equality in Cultural Context, 1980 to 2010",SOCIOLOGY OF DEVELOPMENT,4,1,10.1525/sod.2018.4.1.1,4,1.3333333333333333
2018,"Hao, Feng; Wang, Yan",Acceptance of Higher Taxes for the Environment: A Cross-National and Multilevel Study Based on Seven Years of Data from ISSP and WVS Surveys,INTERNATIONAL JOURNAL OF SOCIOLOGY,48,4,10.1080/00207659.2018.1515704,4,1.3333333333333333
1999,"Semyonov, M; Jones, FL",Dimensions of gender occupational differentiation in segregation and inequality: A cross-national analysis,SOCIAL INDICATORS RESEARCH,46,2,NA,29,1.3181818181818181
2008,"Sunde, Uwe; Cervellati, Matteo; Fortunato, Piergiuseppe",Are all democracies equally good? The role of interactions between political environment and inequality for rule of law,ECONOMICS LETTERS,99,3,10.1016/j.econlet.2007.10.010,17,1.3076923076923077
2001,"Ahituv, A",Be fruitful or multiply: On the interplay between fertility and economic development,JOURNAL OF POPULATION ECONOMICS,14,1,10.1007/s001480050159,26,1.3
2011,"Chakraborty, Shankha; Dabla-Norris, Era",The Quality of Public Investment,B E JOURNAL OF MACROECONOMICS,11,1,NA,13,1.3
2004,"Hawks, SR; Merrill, RM; Madanat, HN; Miyagawa, T; Suwanteerangkul, J; Guarin, CM; Chen, SF",Intuitive eating and the nutrition transition in Asia,ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,13,2,NA,22,1.2941176470588236
2014,"McKinney, Laura A.","Foreign direct investment, development, and overshoot",SOCIAL SCIENCE RESEARCH,47,NA,10.1016/j.ssresearch.2014.04.003,9,1.2857142857142858
1992,"UNNITHAN, NP; WHITT, HP","INEQUALITY, ECONOMIC-DEVELOPMENT AND LETHAL VIOLENCE - A CROSS-NATIONAL ANALYSIS OF SUICIDE AND HOMICIDE",INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,33,44289,10.1177/002071529203300303,37,1.2758620689655173
1992,"RAGIN, CC; BRADSHAW, YW","INTERNATIONAL ECONOMIC DEPENDENCE AND HUMAN MISERY, 1938-1980 - A GLOBAL PERSPECTIVE",SOCIOLOGICAL PERSPECTIVES,35,2,10.2307/1389378,37,1.2758620689655173
2010,"Ashraf, Quamrul; Galor, Oded; Ozak, Omer",ISOLATION AND DEVELOPMENT,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,8,44257,10.1111/j.1542-4774.2010.tb00511.x,14,1.2727272727272727
2010,"Kenyon, Thomas; Naoi, Megumi",Policy Uncertainty in Hybrid Regimes: Evidence From Firm-Level Surveys,COMPARATIVE POLITICAL STUDIES,43,4,10.1177/0010414009355267,14,1.2727272727272727
2010,"Mirilovic, Nikola","The Politics of Immigration Dictatorship, Development, and Defense",COMPARATIVE POLITICS,42,3,10.5129/001041510X12911363509675,14,1.2727272727272727
2010,"Knowles, Stephen; Owen, P. Dorian",Which Institutions are Good for Your Health? The Deep Determinants of Comparative Cross-country Health Status,JOURNAL OF DEVELOPMENT STUDIES,46,4,10.1080/00220380903428399,14,1.2727272727272727
2005,"Pittinsky, TL; Zhu, C",Contemporary public leadership in China: A research review and consideration,LEADERSHIP QUARTERLY,16,6,10.1016/j.leaqua.2005.09.003,20,1.25
2005,"Vynoslavska, O; McKinney, JA; Moore, CW; Longenecker, JG",Transition ethics: A comparison of Ukrainian and United States business professionals,JOURNAL OF BUSINESS ETHICS,61,3,10.1007/s10551-005-1128-x,20,1.25
2013,"Weymouth, Stephen; Broz, J. Lawrence",Government Partisanship and Property Rights: Cross-Country Firm-Level Evidence,ECONOMICS & POLITICS,25,2,10.1111/ecpo.12011,10,1.25
2017,"Chang, Byeng-Hee; Nam, Sang-Hyun; Kwon, Shin-Hye; Chan-Olmsted, Sylvia M.",Toward an integrated model of software piracy determinants: A cross-national longitudinal study,TELEMATICS AND INFORMATICS,34,7,10.1016/j.tele.2017.05.002,5,1.25
2017,"Ibragimov, Marat; Ibragimov, Rustam",Unemployment and output dynamics in CIS countries: Okun's law revisited,APPLIED ECONOMICS,49,34,10.1080/00036846.2016.1262519,5,1.25
2017,"Ryvkin, Dmitry; Semykina, Anastasia","An experimental study of democracy breakdown, income and inequality",EXPERIMENTAL ECONOMICS,20,2,10.1007/s10683-016-9490-3,5,1.25
2017,"Chun, Natalie; Hasan, Rana; Rahman, Muhammad Habibur; Ulubasoglu, Mehmet Ali",The Role of Middle Class in Economic Development: What Do Cross-Country Data Show?,REVIEW OF DEVELOPMENT ECONOMICS,21,2,10.1111/rode.12265,5,1.25
2017,"Milidonis, Andreas; Efthymiou, Maria",Mortality Leads and Lags,JOURNAL OF RISK AND INSURANCE,84,NA,10.1111/jori.12187,5,1.25
2017,"Barcelo, Joan",National Personality Traits and Regime Type: A Cross-National Study of 47 Countries,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,48,2,10.1177/0022022116678324,5,1.25
2017,"Moorhouse, Elizabeth A.",Sex segregation by field of study and the influence of labor markets: Evidence from 39 countries,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,58,1,10.1177/0020715216689294,5,1.25
2017,"Antipina, Olga N.","ECONOMY, CULTURE AND HAPPINESS: IS THERE INTERCONNECTION?",MIROVAYA EKONOMIKA I MEZHDUNARODNYE OTNOSHENIYA,61,7,10.20542/0131-2227-2017-61-7-35-44,5,1.25
2017,"Pierskalla, Jan; Schultz, Anna; Wibbels, Erik","Order, Distance, and Local Development over the Long-Run",QUARTERLY JOURNAL OF POLITICAL SCIENCE,12,4,10.1561/100.00016020,5,1.25
2017,"Pirannejad, Ali",Can the internet promote democracy? A cross-country study based on dynamic panel data models,INFORMATION TECHNOLOGY FOR DEVELOPMENT,23,2,10.1080/02681102.2017.1289889,5,1.25
1996,"Tsiantis, J; Dragonas, T; Richardson, C; Anastasopoulos, D; Masera, G; Spinetta, J",Psychosocial problems and adjustment of children with beta-thalassemia and their families,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,5,4,10.1007/BF00538846,31,1.24
2008,"Moniruzzaman, S.; Andersson, R.",Cross-national injury mortality differentials by income level: The possible role of age and ageing,PUBLIC HEALTH,122,11,10.1016/j.puhe.2008.02.012,16,1.2307692307692308
2008,"Habib, Ahsan","Corporate transparency, financial development and the allocation of capital: Empirical evidence",ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,44,1,10.1111/j.1467-6281.2007.00246.x,16,1.2307692307692308
2003,"Focacci, A","Empirical evidence in the analysis of the environmental and energy policies of a series of industrialised nations, during the period 1960-1997, using widely employed macroeconomic indicators",ENERGY POLICY,31,4,10.1016/S0301-4215(02)00068-X,22,1.2222222222222223
2012,"Nam, Taewoo",Freedom of information legislation and its impact on press freedom: A cross-national study,GOVERNMENT INFORMATION QUARTERLY,29,4,10.1016/j.giq.2012.03.003,11,1.2222222222222223
2007,"Ulubasoglu, Mehmet A.; Cardak, Buly A.",International comparisons of rural-urban educational attainment: Data and determinants,EUROPEAN ECONOMIC REVIEW,51,7,10.1016/j.euroecorev.2006.11.003,17,1.2142857142857142
1996,"Benavot, A",Education and political democratization: Cross-national and longitudinal findings,COMPARATIVE EDUCATION REVIEW,40,4,10.1086/447400,30,1.2
2011,"Brau, Rinaldo; Di Liberto, Adriana; Pigliaru, Francesco",Tourism and Development: A Recent Phenomenon Built on Old (Institutional) Roots?,WORLD ECONOMY,34,3,10.1111/j.1467-9701.2010.01320.x,12,1.2
2011,"Cleveland, Mark; Laroche, Michel; Papadopoulos, Nicolas",Ethnic Identity’s Relationship to Materialism and Consumer Ethnocentrism: Contrasting Consumers in Developed and Emerging Economies,NA,21,2,NA,12,1.2
2016,"Chen, Sheng-Tung; Chang, Hui-Ting",Factors that affect the ecological footprint depending on the different income levels,AIMS ENERGY,4,4,10.3934/energy.2016.4.557,6,1.2
2016,"KIN, A.A.",The power of Siberia pipeline: fundamentals of the large-scale project,Region: Ekonomika i Sotsiologiya,NA,2,10.15372/REG20160209,6,1.2
2000,"Wang, XD; Matsuda, N; Ma, H; Shinfuku, N",Comparative study of quality of life between the Chinese and Japanese adolescent populations,PSYCHIATRY AND CLINICAL NEUROSCIENCES,54,2,10.1046/j.1440-1819.2000.00650.x,25,1.1904761904761905
2010,"Carlton-Ford, Steve","Major Armed Conflicts, Militarization, and Life Chances: A Pooled Time-Series Analysis",ARMED FORCES & SOCIETY,36,5,10.1177/0095327X09335946,13,1.1818181818181819
2009,"Hewitt, Christopher; Kelley-Moore, Jessica",Foreign Fighters in Iraq: A Cross-National Analysis of Jihadism,TERRORISM AND POLITICAL VIOLENCE,21,2,10.1080/09546550802544839,14,1.1666666666666667
2015,"Colovic, Ana; Lamotte, Olivier",Technological Environment and Technology Entrepreneurship: A Cross-Country Analysis,CREATIVITY AND INNOVATION MANAGEMENT,24,4,10.1111/caim.12133,7,1.1666666666666667
2015,"Marti, Caridad; Kasperskaya, Yulia",Public Financial Management Systems and Countries' Governance: A Cross-Country Study,PUBLIC ADMINISTRATION AND DEVELOPMENT,35,3,10.1002/pad.1711,7,1.1666666666666667
2015,"Dronkers, Jaap; Kornder, Nils",Can gender differences in educational performance of 15-year-old migrant pupils be explained by societal gender equality in origin and destination countries?,COMPARE-A JOURNAL OF COMPARATIVE AND INTERNATIONAL EDUCATION,45,4,10.1080/03057925.2014.911658,7,1.1666666666666667
2015,"Maeda, Kentaro; Ziegfeld, Adam",Socioeconomic status and corruption perceptions around the world,RESEARCH & POLITICS,2,2,10.1177/2053168015580838,7,1.1666666666666667
2008,"Dixon, Jeffrey C.",A clash of civilizations? Examining liberal-democratic values in Turkey and the European Union,BRITISH JOURNAL OF SOCIOLOGY,59,4,10.1111/j.1468-4446.2008.00215.x,15,1.1538461538461537
2014,"Cavenaile, Laurent; Gengenbach, Christian; Palm, Franz","Stock Markets, Banks and Long Run Economic Growth: A Panel Cointegration-Based Analysis",ECONOMIST-NETHERLANDS,162,1,10.1007/s10645-013-9220-6,8,1.1428571428571428
2013,"Mayer, Adam",Education and the environment: an international study,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,20,6,10.1080/13504509.2013.830994,9,1.125
2013,"Klomp, Jeroen; de Haan, Jakob",Political Regime and Human Capital: A Cross-Country Analysis,SOCIAL INDICATORS RESEARCH,111,1,10.1007/s11205-011-9983-6,9,1.125
1996,"Wood, A",Analysing the politics of local economic development: Making sense of cross-national convergence,URBAN STUDIES,33,8,10.1080/0042098966655,27,1.08
2008,"Steel, Gill; Kabashima, Ikuo",Cross-regional support for gender equality,INTERNATIONAL POLITICAL SCIENCE REVIEW,29,2,10.1177/0192512107085609,14,1.0769230769230769
2008,"Halkos, George; Tzeremes, Nickolaos",Trade efficiency and economic development: evidence from a cross country comparison,APPLIED ECONOMICS,40,21,10.1080/00036840600970302,14,1.0769230769230769
1992,"ORTEGA, ST; CORZINE, J; BURNETT, C; POYER, T","MODERNIZATION, AGE STRUCTURE, AND REGIONAL CONTEXT - A CROSS-NATIONAL-STUDY OF CRIME",SOCIOLOGICAL SPECTRUM,12,3,10.1080/02732173.1992.9982000,29,1
1993,"ALPEROVICH, G",AN EXPLANATORY MODEL OF CITY-SIZE DISTRIBUTION - EVIDENCE FROM CROSS-COUNTRY DATA,URBAN STUDIES,30,9,10.1080/00420989320081521,28,1
1999,"Haughton, G; While, A",From corporate city to citizens city? Urban leadership after local entrepreneurialism in the United Kingdom,URBAN AFFAIRS REVIEW,35,1,10.1177/10780879922184266,22,1
2001,"Dawson, JW; DeJuan, JP; Seater, JJ; Stephenson, EF",Economic information versus quality variation in cross-country data,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,34,4,10.1111/0008-4085.00109,20,1
2005,"Allen, MW; Ng, SH; Leiser, D",Adult economic model and values survey: Cross-national differences in economic beliefs,JOURNAL OF ECONOMIC PSYCHOLOGY,26,2,10.1016/j.joep.2004.02.004,16,1
2006,"Cole, WM","When all else fails: International adjudication of human rights abuse claims, 1976-1999",SOCIAL FORCES,84,4,10.1353/sof.2006.0084,15,1
2009,"Longo, Stefano B.; York, Richard",Structural Influences on Water Withdrawals: An Exploratory Macro-Comparative Analysis,HUMAN ECOLOGY REVIEW,16,1,NA,12,1
2010,"Rossteutscher, Sigrid",Social Capital Worldwide: Potential for Democratization or Stabilizer of Authoritarian Rule?,AMERICAN BEHAVIORAL SCIENTIST,53,5,10.1177/0002764209350835,11,1
2011,"Pearce, Jone L.; Xin, Katherine M.; Xu, Qiumei Jane; Rao, Alaka N.",Managers' Context: How Government Capability Affects Managers,BRITISH JOURNAL OF MANAGEMENT,22,3,10.1111/j.1467-8551.2011.00756.x,10,1
2011,"Harrell, Stevan; Wang Yuesheng; Han Hua; Santos, Goncalo D.; Zhou Yingying",Fertility Decline in Rural China: A Comparative Analysis,JOURNAL OF FAMILY HISTORY,36,1,10.1177/0363199010388864,10,1
2012,"Clark, Brett; Jorgenson, Andrew K.; Auerbach, Daniel",Up in Smoke: The Human Ecology and Political Economy of Coal Consumption,ORGANIZATION & ENVIRONMENT,25,4,10.1177/1086026612462379,9,1
2012,"Clark, Rob","World-system position and democracy, 1972-2008",INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,53,44352,10.1177/0020715212470122,9,1
2012,"Henry, Michael; Kneller, Richard; Milner, Chris; Girma, Sourafel",Do Natural Barriers Affect the Relationship Between Trade Openness and Growth?,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,74,1,10.1111/j.1468-0084.2011.00636.x,9,1
2014,"Minarik, Pavol",Religion and economic attitudes in post-communist transition,POST-COMMUNIST ECONOMIES,26,1,10.1080/14631377.2014.874656,7,1
2015,"Toya, Hideki; Skidmore, Mark",Information/communication technology and natural disaster vulnerability,ECONOMICS LETTERS,137,NA,10.1016/j.econlet.2015.10.018,6,1
2015,"Kaufmann, Eric","Land, history or modernization? Explaining ethnic fractionalization",ETHNIC AND RACIAL STUDIES,38,2,10.1080/01419870.2014.887748,6,1
2015,"Martinus, Kirsten; Hedgcock, David",The methodological challenge of cross-national qualitative research Comparative case study interviews in Australia and Japan,QUALITATIVE RESEARCH JOURNAL,15,3,10.1108/QRJ-07-2013-0046,6,1
2016,"Liou, Yu-Ming; Musgrave, Paul","Oil, Autocratic Survival, and the Gendered Resource Curse: When Inefficient Policy Is Politically Expedient",INTERNATIONAL STUDIES QUARTERLY,60,3,10.1093/isq/sqw021,5,1
2016,"Verme, Paolo; Barry, Abdoul Gadiry; Guennouni, Jamal",Female Labor Participation in the Arab World: Evidence from Panel Data in Morocco,LABOUR-ENGLAND,30,3,10.1111/labr.12078,5,1
2016,"Chon, Don Soo",Religiosity and Regional Variation of Lethal Violence: Integrated Model,HOMICIDE STUDIES,20,2,10.1177/1088767915576995,5,1
2016,"Dimova, Ralitza; Savoia, Antonio","Institutions: Evolution, Path Dependency, Anachronisms and Impact",JOURNAL OF DEVELOPMENT STUDIES,52,2,10.1080/00220388.2015.1060319,5,1
2016,"Krauss, Alexander",The scientific limits of understanding the (potential) relationship between complex social phenomena: the case of democracy and inequality,JOURNAL OF ECONOMIC METHODOLOGY,23,1,10.1080/1350178X.2015.1069372,5,1
2017,"Bhandari, Aarushi",Women's status and global food security: An overview,SOCIOLOGY COMPASS,11,5,10.1111/soc4.12479,4,1
2017,"Alizadeh, Tooran",Urban Digital Strategies: Planning in the Face of Information Technology?,JOURNAL OF URBAN TECHNOLOGY,24,2,10.1080/10630732.2017.1285125,4,1
2017,"Brysk, Alison; Mehta, Aashish","When Development Is Not Enough: Structural Change, Conflict and Gendered Insecurity",GLOBAL SOCIETY,31,4,10.1080/13600826.2016.1272046,4,1
2017,"Chang, Christina Ling-hsing; Chen, Jim Q.",The information ethics perception gaps between Chinese and American students A Chinese guanxi perspective,INFORMATION TECHNOLOGY & PEOPLE,30,2,10.1108/ITP-08-2014-0181,4,1
2017,"Usman, Muhammad",Does University-Industry Collaboration Matter for Innovation?,IJERI-INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH AND INNOVATION,NA,8,NA,4,1
2018,"Canale, Natale; Vieno, Alessio; Lenzi, Michela; Griffiths, Mark D.; Perkins, Douglas D.; Santinello, Massimo",Cross-national differences in risk preference and individual deprivation: A large-scale empirical study,PERSONALITY AND INDIVIDUAL DIFFERENCES,126,NA,10.1016/j.paid.2018.01.006,3,1
2018,"Testa, Patrick A.",Education and propaganda: Tradeoffs to public education provision in nondemocracies,JOURNAL OF PUBLIC ECONOMICS,160,NA,10.1016/j.jpubeco.2018.03.001,3,1
2018,"Akhtaruzzaman, Muhammad; Hajzler, Christopher; Owen, P. Dorian",Does institutional quality resolve the Lucas Paradox?,APPLIED ECONOMICS,50,5,10.1080/00036846.2017.1321840,3,1
2018,"Bhandari, Aarushi; Burroway, Rebekah",Hungry for Equality: A Longitudinal Analysis of Women's Legal Rights and Food Security in Developing Countries,SOCIOLOGICAL QUARTERLY,59,3,10.1080/00380253.2018.1479199,3,1
2018,"Furceri, Davide; Tovar Jalles, João",Determinants and Effects of Fiscal Counter-Cyclicality,Ensayos sobre POLÍTICA ECONÓMICA,36,spe85,10.32468/espe.8508,3,1
2018,"Somma, Nicolas M.; Bargsted, Matias A.",Political Inequality in 38 Countries: A Distributional Approach,COMPARATIVE SOCIOLOGY,17,5,10.1163/15691330-12341475,3,1
2019,"Mate, Domician; Sadaf, Rabeea; Olah, Judit; Popp, Jozsef; Szucs, Edit","THE EFFECTS OF ACCOUNTABILITY, GOVERNANCE CAPITAL, AND LEGAL ORIGIN ON REPORTED FRAUDS",TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,25,6,10.3846/tede.2019.10717,2,1
2019,"Wang, Ting; Stamatel, Janet P.",Cross-national differences in female offending and criminal justice processing,INTERNATIONAL JOURNAL OF COMPARATIVE AND APPLIED CRIMINAL JUSTICE,43,3,10.1080/01924036.2018.1558082,2,1
2005,"Deidda, L; Fattouh, B",Concentration in the banking industry and economic growth,MACROECONOMIC DYNAMICS,9,2,10.1017/S1365100505040174,15,0.9375
2008,"Gomez, Rafael; de Cos, Pablo Hernandez",The importance of being mature: the effect of demographic maturation on global per capita GDP,JOURNAL OF POPULATION ECONOMICS,21,3,10.1007/s00148-006-0107-6,12,0.9230769230769231
